,a1,a2,a1_coefficients,a2_coefficients,a3_coefficient,c1_coefficients,c2_coefficients,ETL_stack_sequence1,ETL_stack_sequence2,ETL_stack_sequence3,ETL_thickness1,ETL_thickness2,HTL_additives_compounds1,HTL_additives_compounds2,HTL_additives_compounds3,Perovskite_deposition_solvents1,Perovskite_deposition_solvents2,Perovskite_deposition_solvents3,HTL_stack_sequence1,Perovskite_deposition_thermal_annealing_temperature1,Perovskite_deposition_thermal_annealing_temperature2,Perovskite_deposition_thermal_annealing_time1,Perovskite_deposition_thermal_annealing_time2,JV_default_PCE
71,217.0,0.0,3.0,0.0,0.0,9.0,0.0,47.86,47.86,0.0,15.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
72,217.0,0.0,3.0,0.0,0.0,9.0,0.0,47.86,47.86,0.0,15.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
73,217.0,0.0,3.0,0.0,0.0,9.0,0.0,47.86,47.86,0.0,15.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
74,217.0,0.0,3.0,0.0,0.0,9.0,0.0,47.86,47.86,0.0,15.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
75,217.0,0.0,3.0,0.0,0.0,9.0,0.0,47.86,47.86,0.0,15.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
76,217.0,0.0,3.0,0.0,0.0,9.0,0.0,47.86,47.86,0.0,15.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
77,217.0,0.0,3.0,0.0,0.0,9.0,0.0,47.86,47.86,0.0,15.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
78,217.0,0.0,3.0,0.0,0.0,9.0,0.0,47.86,47.86,0.0,15.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
79,167.0,494.5,0.05,0.85,0.5,0.25,2.75,47.86,47.86,0.0,30.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,120,0,60.0,0.0,1
80,167.0,494.5,0.05,0.85,0.5,0.25,2.75,47.86,47.86,0.0,30.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,56.06,120,0,60.0,0.0,1
81,241.24,31.1,0.5,3.0,0.0,10.0,0.0,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
82,128.162,31.1,2.0,3.0,0.0,13.0,0.0,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
83,241.24,132.9,0.5,0.15,2.36,1.7,0.83,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
84,128.162,132.9,2.0,0.1,2.36,1.7,0.83,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
85,241.24,132.9,0.5,0.15,2.36,1.7,0.83,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
86,128.162,132.9,2.0,0.1,2.36,1.7,0.83,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
87,241.24,132.9,0.5,0.15,2.36,1.7,0.83,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
88,128.162,132.9,2.0,0.1,2.36,1.7,0.83,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
89,241.24,132.9,0.5,0.15,2.36,1.7,0.83,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
90,128.162,132.9,2.0,0.1,2.36,1.7,0.83,47.86,0.0,0.0,40.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,100,0,10.0,0.0,0
91,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,150.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
92,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,150.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
93,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,150.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
94,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,150.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
95,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,150.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
96,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,0.0,150.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,10.0,0.0,0
97,167.0,494.5,0.05,0.81,0.14,0.45,2.55,47.86,47.86,0.0,0.0,150.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,80.0,0.0,0
98,167.0,494.5,0.05,0.81,0.14,0.45,2.55,47.86,47.86,0.0,0.0,150.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,80.0,0.0,1
99,217.0,0.0,1.0,0.0,0.0,3.0,0.0,118.71,0.0,0.0,20.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,65,135,1.0,3.0,0
100,253.0,31.1,0.024,0.976,0.0,1.0,2.955,118.71,0.0,0.0,20.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,65,135,1.0,3.0,0
101,253.0,31.1,0.048,0.952,0.0,1.0,2.91,118.71,0.0,0.0,20.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,65,135,1.0,3.0,1
102,253.0,31.1,0.048,0.952,0.0,1.0,2.91,118.71,0.0,0.0,20.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,65,135,1.0,3.0,0
103,253.0,31.1,0.048,0.952,0.0,1.0,2.91,118.71,0.0,0.0,20.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,65,135,1.0,3.0,0
104,253.0,31.1,0.072,0.928,0.0,1.0,2.86,118.71,0.0,0.0,20.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,65,135,1.0,3.0,0
105,253.0,31.1,0.1,0.9,0.0,1.0,2.8,118.71,0.0,0.0,20.0,0.0,253.8,266.0,0.0,18.0,78.0,0.0,1787.74,65,135,1.0,3.0,0
106,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,30.0,150.0,253.8,266.0,0.0,78.0,86.1,0.0,39.1,100,0,10.0,0.0,0
107,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,30.0,150.0,253.8,266.0,0.0,78.0,86.1,0.0,39.1,100,0,10.0,0.0,0
108,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,30.0,150.0,253.8,266.0,0.0,78.0,86.1,0.0,39.1,100,0,10.0,0.0,0
109,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,30.0,150.0,253.8,266.0,0.0,78.0,86.1,0.0,39.1,100,0,10.0,0.0,0
110,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,30.0,150.0,0.0,0.0,0.0,78.0,86.1,0.0,39.1,100,0,10.0,0.0,0
111,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,30.0,150.0,0.0,0.0,0.0,78.0,86.1,0.0,39.1,100,0,10.0,0.0,0
112,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,30.0,150.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,10.0,0.0,0
113,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,47.86,0.0,30.0,150.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,10.0,0.0,0
